daily_volume_usd,day,project,trade_count
2878.986686023874,2024-01-14,kyberswap,5
971357.5220470879,2024-01-14,maverick,92
13670180.36034481,2024-01-14,pancakeswap,470
33342.82208092044,2024-01-14,shibaswap,61
1752309.3540165585,2024-01-14,solidly,65
931405.7216105516,2024-01-14,sushiswap,818
35547.38714016248,2024-01-14,swaap,2
154607448.30276522,2024-01-14,uniswap,12493
1087.300424839997,2024-01-14,verse_dex,7
7481740.020232948,2024-01-15,0x-API,643
1204156.1855498557,2024-01-15,1inch-LOP,210
716705.2940037667,2024-01-15,airswap,264
821838.286137514,2024-01-15,balancer,53
1670.694971769868,2024-01-15,bancor,2
208615.13321148482,2024-01-15,clipper,44
74502607.69112007,2024-01-15,curve,728
6922.997955878297,2024-01-15,defiswap,79
19212128.17532597,2024-01-15,dodo,136
3446991.9216981404,2024-01-15,integral,26
41053.872025991885,2024-01-15,kyberswap,27
1298882.2249364683,2024-01-15,maverick,118
18716730.94383976,2024-01-15,pancakeswap,666
28583.30249975857,2024-01-15,shibaswap,80
1400747.322329518,2024-01-15,solidly,84
1032391.582686212,2024-01-15,sushiswap,736
155688736.3725101,2024-01-15,uniswap,15609
3155.220840445599,2024-01-15,verse_dex,15
12685543.583441576,2024-01-16,0x-API,645
6982496.833126819,2024-01-16,1inch-LOP,311
1925772.6905823299,2024-01-16,airswap,202
665419.6249667212,2024-01-16,balancer,57
67.383762770456,2024-01-16,bancor,1
3.009432836347027,2024-01-16,carbon_defi,1
342109.31260705466,2024-01-16,clipper,65
135419993.847166,2024-01-16,curve,777
8533.983190618876,2024-01-16,defiswap,101
16611823.690449711,2024-01-16,dodo,95
3785932.1259053936,2024-01-16,integral,25
8704.839327033993,2024-01-16,kyberswap,35
211395.2882223488,2024-01-16,maverick,147
10084053.033371305,2024-01-16,pancakeswap,653
28319.675299869574,2024-01-16,shibaswap,103
1203434.0105288222,2024-01-16,solidly,63
944037.0404087787,2024-01-16,sushiswap,947
193368393.40530416,2024-01-16,uniswap,16759
33903.732764586224,2024-01-16,verse_dex,17
7605266.34927279,2024-01-17,0x-API,570
7440461.1340795355,2024-01-17,1inch-LOP,313
1189301.7709900462,2024-01-17,airswap,215
266576.9814613611,2024-01-17,balancer,61
724.898808947894,2024-01-17,bancor,5
6.929654815308468,2024-01-17,carbon_defi,2
447289.09796433174,2024-01-17,clipper,63
101524648.25409213,2024-01-17,curve,739
7682.785361422824,2024-01-17,defiswap,73
9556623.373437922,2024-01-17,dodo,89
1459830.3060974325,2024-01-17,integral,12
5204.6558327592375,2024-01-17,kyberswap,13
901443.537123007,2024-01-17,maverick,119
13788502.565137994,2024-01-17,pancakeswap,559
28448.4962580844,2024-01-17,shibaswap,87
1234135.5258362866,2024-01-17,solidly,49
759858.805104022,2024-01-17,sushiswap,842
166246010.65433812,2024-01-17,uniswap,15413
813.3167410584458,2024-01-17,verse_dex,12
9473998.090179378,2024-01-18,0x-API,681
6701427.381642012,2024-01-18,1inch-LOP,446
1305953.358169666,2024-01-18,airswap,265
590711.0609363863,2024-01-18,balancer,46
4752.251764684139,2024-01-18,bancor,3
16115.106508818348,2024-01-18,carbon_defi,3
114297.99771682353,2024-01-18,clipper,23
167325921.99615523,2024-01-18,curve,806
8494.809595780938,2024-01-18,defiswap,90
7115202.412141596,2024-01-18,dodo,75
